Ward,Name,opening_hour,Opening time,Post_code,Address,Capacity,Capacity_integer
,Palace For Life Foundation,4,,SE25 6PU,"Selhurst Park, London, se25 6pu.",5.326205776,5
,Phoenix Community Centre,16,,SE19 3AB,"Phoenix Community Centre, Westow Street, London, SE19 3AB.",21.3048231,21
,Purley Library,16,,CR8 3YH,"Banstead Road, London, CR8 3YH.",21.3048231,21
,Purley United Reform Church,7,,CR8 2LN,"Brighton Road 922, London, CR8 2LN.",9.320860108,9
,"Quiz, Craft and Tea at Christ Church, Broad Green",3,,CR0 3LJ,"Sumner Road, London, CR0 3LJ.",3.994654332,4
,Sanderstead Library,24,,CR2 0HQ,"Farm Fields, London, CR2 0HQ.",31.95723465,32
,Selsdon Library,24,,CR2 8LA,"Addington Road 130, London, CR2 8LA",31.95723465,32
,Shirley Library,16,,CR0 8BH,"Wickham Road, London, CR0 8BH.",21.3048231,21
,South Norwood Community Kitchen,23,,SE25 4UF,"44b Portland Road, London, SE25 4UF.",30.62568321,31
,South Norwood Library,16,,SE25 5AA,"Lawrence Road, London, SE25 5AA.",21.3048231,21
,St Alban the Martyr Church,2,,SE25 6RE,"1 Whitehorse Lane, London, SE25 6RE.",2.663102888,3
,St Andrew's Roman Catholic Church,5,,CR7 7DA,"St. Andrew's Church Hall, Quadrant Road, London, CR7 7DA.",6.65775722,7
,St Francis Monks Hill,3.5,,CR2 8HP,"107 Broadcoombe,, 107 Broadcoombe,, Croydon, CR2 8HP.",4.660430054,5
,St George's Church Centre,3.5,,CR0 4EZ,"Barrow Road, London, CR0 4EZ.",4.660430054,5
,St Mary the Blessed Virgin,6,,CR0 5AS,"Addington Village Road, London, CR0 5AS.",7.989308664,8
,St Michael's Church,3,,CR0 1UA,"Poplar Walk, London, CR0 1UA.",3.994654332,4
,St Mildred's Parish Church,2.5,,CR0 7EB,"St Mildred's Parish Church, 30 Bingham Road, Croydon, CR0 7EB.",3.32887861,3
,St Oswald's Parish Hall,4,,SW16 3SB,"St. Oswald's Road, London, SW16 3SB.",5.326205776,5
,St Paul's United Reformed Church,3,,CR2 7AE,"St Paul's United Reformed Church, Croham Road, London, CR2 7AE.",3.994654332,4
,St. Edward King and Confessor Church,6,,CR0 0DL,"St. Edward King and Confessor Church, Cleves Crescent, Croydon, CR0 0DL.",7.989308664,8
,The Hub on the Hill at St Barnabas Church,1.5,,CR8 2HR,"Higher Drive 69, London, CR8 2HR.",1.997327166,2
,"The Hub, Kenley Memorial Hall",1,,CR8 5AB,"Godstone Road 92, London, CR8 5AB.",1.331551444,1
,The Oval Tavern,72.5,,CR0 6BR,"Oval Road 131, London, CR0 6BR.",96.53747969,97
,The Salvation Army,4,,CR0 1XY,"Booth Road, London, CR0 1XY.",5.326205776,5
,Thornton Heath Library,24,,CR7 7JH,"Brigstock Road, London, CR7 7JH.",31.95723465,32
,Torchlight Ministries,2,,SE25 6XX,"Brookhurst Court,, 190 Selhurst Road, South Norwood, London, SE25 6XX.",2.663102888,3
,Waddon Leisure Centre,6,,CR0 4GD,"Waddon Leisure Centre, Purley Way, Croydon, CR0 4GD.",7.989308664,8
,Heart and Soul Pop Up Cafe,2,,SW16 3SB,"St. Oswald's Road, London, SW16 3SB.",2.663102888,3
,West Wickham and Shirley Baptist Church,8,,CR0 8EB,"Wickham Road, London, CR0 8EB.",10.65241155,11
Ealing,Greenford Library,30,,UB6 9LG,"Greenford Library, Oldfield Lane South, Greenford, Middlesex UB6 9LG",39.94654332,40
,Jubilee Gardens Health Centre,30,,UB1 2TJ,"Jubilee Gardens Health Centre, Jubilee Gardens, Southall UB1 2TJ",39.94654332,40
,Ealing Central Library,51,,W5 5JY,"Ealing Central Library, Ealing Broadway Centre, Ealing W5 5JY",67.90912364,68
